"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 12:05:33 GMT 2022","Tue Oct 18 12:05:33 GMT 2022","3","","","","","","text environment exception (command is repeated 2 time)",""
"passed","Tue Oct 18 12:05:33 GMT 2022","Tue Oct 18 12:05:33 GMT 2022","4","","","","","","text queue",""
"passed","Tue Oct 18 12:05:33 GMT 2022","Tue Oct 18 12:05:33 GMT 2022","3","","","","","","text connection exception (command is repeated 1 time)",""
